geo_label_citystate,date_label,strata_race_label,strata_sex_label,Adult Binge Drinking,Adult Mental Distress,Adult Obesity,Adult Physical Inactivity,Adult Smoking,All Cancer Deaths,Breast Cancer Deaths,COVID-19 Deaths,"COVID-19 Vaccination, Adults","COVID-19 Vaccination, Seniors",Cardiovascular Disease Deaths,Child Lead Levels,Child Lead Testing,Children,Climate-related  Disasters,College Graduates,Colorectal Cancer Deaths,Community Social Vulnerability to Climate Disasters,Deaths from All Causes,Dental Care,Diabetes,Diabetes Deaths,Drives Alone to Work,Drug Overdose Deaths,Electronic Bullying,Excessive Housing Cost,Fighting in School,"Flu Vaccinations, Medicare",Foreign Born Population,Gun Deaths (Firearms),HIV-Related Deaths,HIV/AIDS Prevalence,Hazardous Air Quality,Heart Disease Deaths,High Blood Pressure,"Homeless, Children","Homeless, Total",Homicides,Household Income Inequality,Households with Higher-Incomes,Housing Lead Risk,Income Inequality,Infant Deaths,Injury Deaths,Lack of Car,Life Expectancy,Limited Supermarket Access,Longer Driving Commute Time,Longer Summers,Low Birthweight,Lung Cancer Deaths,Maternal Deaths,Minority Population,Motor Vehicle Deaths,New Chlamydia Cases,New Gonorrhea Cases,New Tuberculosis Cases,Number of Heat Waves,Opioid Overdose Deaths,Owner Occupied Housing,People with Disabilities,Per-capita Household Income,Pneumonia or Influenza Deaths,Police Killings,Poor Air Quality,Population Density,Poverty and Near Poverty in All Ages,Poverty in All Ages,Poverty in Children,Premature Death,Prenatal Care,Preschool Enrollment,Preterm Births,Primarily Speak Chinese,Primarily Speak English,Primarily Speak Spanish,Prostate Cancer Deaths,Public Assistance,Public Transportation Use,Racial Disparity in Police Killings,"Racial Segregation, White and Asian","Racial Segregation, White and Black","Racial Segregation, White and Hispanic","Racial Segregation, White and Non-White",Renters vs. Owners,Riding Bike to Work,School Bullying,Seniors,Service Workers,Single-Parent Families,Suicide,Syphilis Prevalence,"Syphilis, Newborns",Teen Alcohol,Teen Asthma,Teen Birth Control,Teen Births,Teen Breakfast,Teen Computer Time,Teen Marijuana,Teen Mental Distress,Teen Obesity,Teen Physical Activity,Teen Physical Education,Teen Physical Inactivity,Teen Smoking,Teen Soda,Teen Suicidal Ideation,Teen TV Time,Unemployment,"Uninsured, All Ages","Uninsured, Child",Vacant Housing Units,Vacant Housing and Homelessness,Violent Crime,Walking to Work,Weapons in School
"Austin, TX",2011,American Indian/Alaska Native,Both,,,,,,,,,,,,,,,,21.33956386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.17751479,12.20579046,19801.0,,,,,,28.60142797,43.02884615,,,,,,,,,,,,,,,,0.992924528,,,,50.16820858,,,,,,,,,,,,,,,,,,,,,7.829457364,,,,,,,
"Austin, TX",2011,Asian,Both,,,,,,,,,,,,,,,,70.57371383,,,,,,,,,,,,,,,,61.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.01678708,2.973168963,31998.0,,,,,,16.84774675,7.837837838,,,,,,,,,,,,,,,,1.438026162,,,,18.85036711,,,,,,,,,,,,,,,,,,,,,6.419018225,,,,,,,
"Austin, TX",2011,Asian/PI,Both,,,,,,109.6965121,,,,,107.2708554,,,,,,,,428.0523093,,,,,,,,,,,,,,,64.71926676,,,,,,,,,,26.13600564,,,,,,9.057639524,,,,,,,,,,,,,,,,,,,,2412.616192,82.63270942,,,,,,,,,,,,,,,,,,,,,,,,,,3.856266433,,,,,,,,,,,,,,,,,,,,
"Austin, TX",2011,Asian/PI,Female,,,,,,93.73147479,,,,,81.46164776,,,,,,,,369.4268738,,,,,,,,,,,,,,,33.56591948,,,,,,,,,,19.18078167,,,,,,,,,,,,,,,,,,,,,,,,,,1968.819666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Austin, TX",2011,Asian/PI,Male,,,,,,137.2376536,,,,,174.4089107,,,,,,,,587.0556116,,,,,,,,,,,,,,,125.7363129,,,,,,,,,,42.90453666,,,,,,,,,,,,,,,,,,,,,,,,,,2930.628153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Austin, TX",2011,Black,Both,,,,,,222.5820501,39.11484179,,,,297.468536,,,,,21.48810121,19.03874382,,934.5903642,,,31.67257995,,24.5217964,,,,,,11.41740226,13.46434132,1241.4,,217.8581687,,,,10.08263217,,,,,,72.70191448,,75.31647384,,,,14.21554464,51.19673057,64.9266329,,9.532169264,,,,,,31.96699494,16.22406961,19782.0,11.70155269,4.656013707,,,,27.08774905,40.98975703,9639.976735,64.87350974,,,,,,37.42815559,,,,,,,,2.128226478,,,,36.02018503,,8.29037384,,,,,,69.44669804,,,,,,,,,,,,,12.96263762,,,,,,,
"Austin, TX",2011,Black,Female,,,,,,189.2204277,,,,,248.7483327,,,,,,18.52295506,,781.6096055,,,34.04193559,,12.82382763,,,,,,,,,,175.7746799,,,,,,,,,,34.2084847,,78.2802917,,,,,40.76925199,,,,,,,,,,,,12.78368645,,,,,,,7504.660627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Austin, TX",2011,Black,Male,,,,,,287.608977,,,,,370.9069928,,,,,,,,1169.305635,,,31.58976388,,37.65543617,,,,,,20.12549083,18.90948812,,,276.8467464,,,,15.99464802,,,,,,116.0018348,,72.30786938,,,,,68.94572484,,,19.02942557,,,,,,,,,,,,,,,,11846.24854,,,,,,,,,,,,,,,,,,,,,15.030459,,,,,,,,,,,,,,,,,,,,,,,,,,
"Austin, TX",2011,Hispanic,Both,,,,,,132.7441737,10.1322591,,,,161.6767369,,,,,18.17644689,15.68860437,,633.4655996,,,28.96732681,,7.376021926,,,,,,4.585681348,2.402225327,455.6,,114.0278388,,,,4.392607349,,,,,,49.60127567,,81.29923093,,,,7.353865493,20.21811802,20.48891678,,10.35503512,,,,,3.159011684,34.62873493,7.358185112,16570.0,6.055384322,0.356257811,,,,29.58054448,40.71502173,4584.786725,55.17731243,,,,,,16.24989288,,,,,,,,1.887775144,,,,57.64453585,,4.93047941,,,,,,75.81636917,,,,,,,,,,,,,9.00269075,,,,,,,
"Austin, TX",2011,Hispanic,Female,,,,,,114.6343744,,,,,134.7492247,,,,,,12.95861445,,541.4525058,,,31.99123952,,5.675901623,,,,,,,,,,84.12630367,,,,2.973284808,,,,,,33.02443681,,83.13909168,,,,,16.12059338,,,3.370402134,,,,,,,,,,,,,,,,3267.514995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Austin, TX",2011,Hispanic,Male,,,,,,161.6403498,,,,,203.3140051,,,,,,20.54311227,,761.5322893,,,24.32550821,,8.963606385,,,,,,6.874129255,4.126331629,,,160.7634714,,,,5.710748534,,,,,,65.57948855,,78.97747303,,,,,25.69316513,,,17.32945149,,,,,4.248625975,,,,8.494997958,,,,,,,5877.314008,,,,,,,,,,,,,,,,,,,,,7.969602676,,,,,,,,,,,,,,,,,,,,,,,,,,
"Austin, TX",2011,White,Both,,,,,,154.7615585,21.78891126,,,,188.4665734,,,,,59.29115765,11.91068317,,710.1527407,,,13.29326828,,19.57379054,,,,,,10.45584884,1.5032719,348.6,,140.321276,,,,2.119379116,,,,,,75.88254205,,80.69948646,,,,6.872830937,37.39826445,,,8.709523099,,,,,7.017534748,52.15281287,8.726448065,44166.0,10.84660586,0.486660277,,,,11.1761529,5.808207008,5096.044359,84.84131923,,,,,,17.99304759,,,,,,,,0.917442119,,,,19.66626083,,18.76316311,,,,,,11.99804114,,,,,,,,,,,,,5.62352146,,,,,,,
"Austin, TX",2011,White,Female,,,,,,138.0355787,,,,,151.265635,,,,,,10.86440268,,612.0382078,,,11.25096289,,15.118546,,,,,,2.637458713,,,,104.8747224,,,,1.588941298,,,,,,50.78774535,,82.67058606,,,,,28.97162728,,,4.764971531,,,,,4.650212014,,,,10.72930025,,,,,,,3818.693508,,,,,,,,,,,,,,,,,,,,,7.956069061,,,,,,,,,,,,,,,,,,,,,,,,,,
"Austin, TX",2011,White,Male,,,,,,180.1716958,,,,,238.2303727,,,,,,12.93206384,,837.9315666,,,15.62922347,,23.88386943,,,,,,18.9645885,2.817717763,,,189.2742892,,,,2.626464997,,,,,,102.819476,,78.47511674,,,,,49.48489137,,,12.63132901,,,,,9.364077956,,,,11.4753364,,,,,,,6347.941352,,,,,,,,,,,,,,,,,,,,,30.31782951,,,,,,,,,,,,,,,,,,,,,,,,,,
"Austin, TX",2012,All,Both,21.4,10.1,25.3,20.3,14.1,147.1244425,21.71184809,,,,181.977635,,,22.04468091,41.25,44.78169182,12.0441725,28.32369942,684.6948663,62.4,7.7,17.29958833,71.70185205,15.69225375,,,,50.0,19.08120494,8.45881039,2.50041098,450.8,2.18579235,132.3757854,23.4,,,3.026070084,0.003340583,51.89652475,6.288232493,0.4876,,68.20744624,7.104797372,80.36717788,63.14366606,,50.90238095,7.89372167,31.29665916,16.82868955,51.36841684,9.183589892,618.5,152.9,3.4,7.769230769,4.584204798,45.06290051,8.49604215,31387.0,10.64766581,0.695747522,31.96721311,2685.086346,37.98052897,19.39894657,27.23602876,4920.523665,72.05939347,42.98900322,,,,,18.00300475,10.18525051,4.673878794,4.16935343,40.61898946,57.92412466,49.97393478,44.16342767,1.21912036,1.458997071,,6.921902795,32.72458,10.98588611,12.87254119,12.5,0.0,,,,38.36715616,,,,,,,,,,,,,7.334555582,,,8.145933655,,408.8120917,2.506039282,
"Austin, TX",2012,All,Female,,,,,,125.9314883,,,,,143.1146835,,,,,,10.0596556,,577.6089002,,,16.07575197,,11.16146548,,,,,,2.605125702,1.012651841,121.1,,96.8234481,,,,2.026344483,,,,,,43.88291038,,82.2135191,,,,,24.871258,,,3.611739941,,,,,2.635376687,,,,10.12727691,,,,,,,3665.71229,,,,,,,,,,,,,,,,,,,,,5.818541565,,,,,,,,,,,,,,,,,,,,,,,,,,
"Austin, TX",2012,All,Male,,,,,,179.5597819,,,,,238.7645226,,,,,,14.71450598,,831.5252262,,,18.4084847,,20.02693682,,,,,,15.09871373,3.998293672,777.7,,184.8739733,,,,3.986555067,,,,,,95.37158105,,78.32175576,,,,,40.72278767,,,15.21571252,,,,,6.523956392,,,,11.63260397,,,,,,,6185.547362,,,,,,,,,,,,,,,,,,,,,20.86608578,,,,,,,,,,,,,,,,,,,,,,,,,,
"Austin, TX",2012,American Indian/Alaska Native,Both,,,,,,,,,,,,,,,,21.33956386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.17751479,12.20579046,19801.0,,,,,,28.60142797,43.02884615,,,,,,,,,,,,,,,,0.992924528,,,,50.16820858,,,,,,,,,,,,,,,,,,,,,7.829457364,,,,,,,
"Austin, TX",2012,Asian,Both,,,,,,,,,,,,,,,,70.57371383,,,,,,,,,,,,,,,,54.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.01678708,2.973168963,31998.0,,,,,,16.84774675,7.837837838,,,,,,,,,,,,,,,,1.438026162,,,,18.85036711,,,,,,,,,,,,,,,,,,,,,6.419018225,,,,,,,
"Austin, TX",2012,Asian/PI,Both,,,,,,123.208431,22.44944925,,,,144.469644,,,,,,,,509.6216769,,,,,,,,,46.0,,,,,,89.97281466,,,,,,,,,,21.92220055,,,,,,9.134045077,16.25535968,,,,,,,,,,,,,,,,,,,2499.317653,82.92101341,,,,,,,,,,,,,,,,,,,,,,,,,,3.839066339,,,,,,,,,,,,,,,,,,,,
"Austin, TX",2012,Asian/PI,Female,,,,,,113.7519202,,,,,105.6240605,,,,,,,,463.0506898,,,,,,,,,,,,,,,63.53169085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.085946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Austin, TX",2012,Asian/PI,Male,,,,,,137.8968535,,,,,216.3289768,,,,,,,,596.5970299,,,,,,,,,,,,,,,134.9958126,,,,,,,,,,22.89458254,,,,,,,,,,,,,,,,,,,,,,,,,,3048.157932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Austin, TX",2012,Black,Both,,,,,,194.1265581,44.28433098,,,,291.7200033,,,,,21.48810121,14.94586639,,897.0170816,,,30.74574324,,25.11766452,,,,32.0,,9.079522452,12.22849008,1230.3,,217.6626223,,,,7.928505934,,,,,,79.9346306,,75.82067117,,,,14.47102912,48.26300832,64.9266329,,15.53022967,,,,,,31.96699494,16.22406961,19782.0,9.186574067,4.656013707,,,,27.08774905,40.98975703,9384.397512,67.03392288,,,,,,33.48153454,,,,,,,,2.128226478,,,,36.02018503,,8.848003259,,,,,,60.96582705,,,,,,,,,,,,,12.96263762,,,,,,,
"Austin, TX",2012,Black,Female,,,,,,171.6166275,,,,,254.0492642,,,,,,12.65453308,,754.7887879,,,28.68442129,,12.49323931,,,,,,,,,,179.0364252,,,,,,,,,,38.45043961,,77.83185279,,,,,35.64365176,,,,,,,,,,,,,,,,,,,7264.682898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
